Replicon Accession,Start,End,Size,GI Prediction Program
NC_002695.1,1189828,1199649,9821,islandpick
NC_002695.1,1271674,1292469,20795,islandpick
NC_002695.1,1385629,1395427,9798,islandpick
NC_002695.1,1405284,1417793,12509,islandpick
NC_002695.1,1774325,1796844,22519,islandpick
NC_002695.1,1941077,1958065,16988,islandpick
NC_002695.1,2668068,2679987,11919,islandpick
NC_002695.1,2680040,2688783,8743,islandpick
NC_002695.1,2896412,2905696,9284,islandpick
NC_002695.1,3482002,3490215,8213,islandpick
NC_002695.1,5043954,5074559,30605,islandpick
NC_002695.1,5370269,5386178,15909,islandpick
NC_006350.1,1322434,1334495,12061,islandpick
NC_006350.1,3098599,3107131,8532,islandpick
NC_004431.1,264591,282773,18182,islandpick
NC_004431.1,287847,299547,11700,islandpick
NC_004431.1,334365,347829,13464,islandpick
NC_004431.1,1175650,1185349,9699,islandpick
NC_004431.1,3470573,3480208,9635,islandpick
NC_004431.1,5116814,5127865,11051,islandpick
NC_003197.1,2877966,2895806,17840,islandpick
NC_003197.1,2895879,2906253,10374,islandpick
NC_003197.1,4658029,4670979,12950,islandpick
NC_007946.1,4799842,4809478,9636,islandpick
NC_007946.1,4865615,4879285,13670,islandpick
NC_003485.1,311382,323333,11951,islandpick
NC_004578.1,17605,40944,23339,islandpick
NC_004578.1,44066,57265,13199,islandpick
NC_004578.1,61684,70795,9111,islandpick
NC_004578.1,215994,232227,16233,islandpick
NC_004578.1,309011,323982,14971,islandpick
NC_004578.1,1166305,1174869,8564,islandpick
NC_004578.1,1175225,1183588,8363,islandpick
NC_004578.1,1188998,1204049,15051,islandpick
NC_004578.1,1204152,1215623,11471,islandpick
NC_004578.1,1819649,1829941,10292,islandpick
NC_004578.1,2249814,2264664,14850,islandpick
NC_004578.1,2566662,2581182,14520,islandpick
NC_004578.1,2642872,2654384,11512,islandpick
NC_004578.1,2815009,2823712,8703,islandpick
NC_004578.1,3613274,3621716,8442,islandpick
NC_004578.1,4543988,4563563,19575,islandpick
NC_004578.1,4580216,4588422,8206,islandpick
NC_004578.1,4796689,4807220,10531,islandpick
NC_004578.1,4810487,4820574,10087,islandpick
NC_004578.1,5098877,5111030,12153,islandpick
NC_004578.1,5282067,5308054,25987,islandpick
NC_004578.1,5327344,5343194,15850,islandpick
NC_004578.1,5366134,5374477,8343,islandpick
NC_004578.1,5383279,5406598,23319,islandpick
NC_004578.1,6145200,6154048,8848,islandpick
NC_006511.1,2703957,2727924,23967,islandpick
NC_007958.1,7425,46264,38839,islandpick
NC_007958.1,46864,70121,23257,islandpick
NC_007958.1,415625,424369,8744,islandpick
NC_007958.1,835418,851799,16381,islandpick
NC_007958.1,1178957,1191716,12759,islandpick
NC_007958.1,1676746,1690493,13747,islandpick
NC_007958.1,2386063,2400825,14762,islandpick
NC_007958.1,2405978,2427581,21603,islandpick
NC_007958.1,2546772,2565709,18937,islandpick
NC_007958.1,4051507,4063267,11760,islandpick
NC_007958.1,4073927,4091274,17347,islandpick
NC_007958.1,4730752,4739260,8508,islandpick
NC_007778.1,219187,231500,12313,islandpick
NC_007778.1,1059945,1070907,10962,islandpick
NC_007778.1,1674461,1684645,10184,islandpick
NC_007778.1,1689289,1700401,11112,islandpick
NC_007778.1,1717777,1751976,34199,islandpick
NC_007778.1,1836974,1874501,37527,islandpick
NC_007778.1,1888384,1904136,15752,islandpick
NC_007778.1,2324632,2333786,9154,islandpick
NC_007778.1,2496361,2510753,14392,islandpick
NC_007778.1,2568318,2594049,25731,islandpick
NC_007778.1,2890760,2906028,15268,islandpick
NC_007778.1,3470577,3488125,17548,islandpick
NC_007778.1,3488258,3506427,18169,islandpick
NC_007778.1,3521385,3530379,8994,islandpick
NC_007778.1,3533133,3547153,14020,islandpick
NC_007778.1,3547199,3560560,13361,islandpick
NC_007778.1,3780691,3799066,18375,islandpick
NC_007778.1,4673017,4685836,12819,islandpick
NC_007778.1,4965373,4974344,8971,islandpick
NC_007778.1,4991621,5025837,34216,islandpick
NC_004606.1,353171,368968,15797,islandpick
NC_004606.1,585846,598024,12178,islandpick
NC_004606.1,845852,856488,10636,islandpick
NC_004606.1,856889,867505,10616,islandpick
NC_004606.1,1122488,1135939,13451,islandpick
NC_004606.1,1146215,1164716,18501,islandpick
NC_004606.1,1326149,1335306,9157,islandpick
NC_004606.1,1403004,1420261,17257,islandpick
NC_004606.1,1420313,1433990,13677,islandpick
NC_004606.1,1475767,1497964,22197,islandpick
NC_007651.1,1038008,1049263,11255,islandpick
NC_007651.1,1237197,1245785,8588,islandpick
NC_007651.1,1632098,1647630,15532,islandpick
NC_007651.1,3138533,3148758,10225,islandpick
NC_007651.1,3324638,3333869,9231,islandpick
