Replicon Accession,Start,End,Size,GI Prediction Program
NC_013959.1,2770371,2782454,12083,sigi_hmm
NC_013959.1,2676202,2682354,6152,sigi_hmm
NC_013947.1,1627317,1632389,5072,sigi_hmm
NC_013947.1,1542202,1546698,4496,sigi_hmm
NC_013947.1,1575609,1581034,5425,sigi_hmm
NC_013947.1,722746,728054,5308,sigi_hmm
NC_013947.1,1018674,1025621,6947,sigi_hmm
NC_013947.1,1301902,1307020,5118,sigi_hmm
NC_013947.1,662404,667377,4973,sigi_hmm
NC_013947.1,625124,631415,6291,sigi_hmm
NC_013947.1,465595,480616,15021,sigi_hmm
NC_013947.1,337644,341952,4308,sigi_hmm
NC_013947.1,378554,389072,10518,sigi_hmm
NC_013947.1,35568,39869,4301,sigi_hmm
NC_014251.1,2018661,2028373,9712,sigi_hmm
NC_014251.1,2008894,2013055,4161,sigi_hmm
NC_014251.1,1980985,1990209,9224,sigi_hmm
NC_014251.1,1992075,1996106,4031,sigi_hmm
NC_014251.1,1897337,1902044,4707,sigi_hmm
NC_014251.1,1843837,1848451,4614,sigi_hmm
NC_014251.1,1874467,1888453,13986,sigi_hmm
NC_014251.1,1330480,1338641,8161,sigi_hmm
NC_014251.1,1322424,1329309,6885,sigi_hmm
NC_014251.1,1009067,1020213,11146,sigi_hmm
NC_014251.1,787874,792977,5103,sigi_hmm
NC_014251.1,780622,785519,4897,sigi_hmm
NC_014251.1,734217,739085,4868,sigi_hmm
NC_014251.1,761340,766040,4700,sigi_hmm
NC_014251.1,440309,447823,7514,sigi_hmm
NC_014251.1,402787,410149,7362,sigi_hmm
NC_013421.1,723640,731470,7830,sigi_hmm
NC_013421.1,736379,744151,7772,sigi_hmm
NC_013421.1,747128,751744,4616,sigi_hmm
NC_013421.1,806913,814380,7467,sigi_hmm
NC_013421.1,930144,938619,8475,sigi_hmm
NC_013421.1,1148277,1158320,10043,sigi_hmm
NC_013421.1,1507973,1518405,10432,sigi_hmm
NC_013421.1,1405035,1410295,5260,sigi_hmm
NC_013421.1,1494144,1499784,5640,sigi_hmm
NC_013421.1,1179911,1188807,8896,sigi_hmm
NC_011420.2,40915,45231,4316,sigi_hmm
NC_011420.2,74989,87662,12673,sigi_hmm
NC_011420.2,371825,378944,7119,sigi_hmm
NC_011420.2,862707,866979,4272,sigi_hmm
NC_011420.2,1777988,1783015,5027,sigi_hmm
NC_011420.2,3589159,3598670,9511,sigi_hmm
NC_012669.1,4329236,4334623,5387,sigi_hmm
NC_012669.1,4487233,4492486,5253,sigi_hmm
NC_012669.1,2954258,2961021,6763,sigi_hmm
NC_012669.1,2355854,2363696,7842,sigi_hmm
NC_012669.1,2408727,2413166,4439,sigi_hmm
NC_012669.1,151784,158125,6341,sigi_hmm
NC_012669.1,462707,467101,4394,sigi_hmm
NC_012724.1,2751688,2756244,4556,sigi_hmm
NC_012669.1,102268,109178,6910,sigi_hmm
NC_012721.1,2702913,2707064,4151,sigi_hmm
NC_012721.1,2720714,2725017,4303,sigi_hmm
NC_012721.1,2501945,2507826,5881,sigi_hmm
NC_012721.1,2565763,2573068,7305,sigi_hmm
NC_012721.1,2418363,2422971,4608,sigi_hmm
NC_012721.1,1989409,1996269,6860,sigi_hmm
NC_012721.1,1404943,1409843,4900,sigi_hmm
NC_012721.1,1643480,1648647,5167,sigi_hmm
NC_012721.1,1701867,1708780,6913,sigi_hmm
NC_012721.1,984231,989821,5590,sigi_hmm
NC_012721.1,1057406,1065330,7924,sigi_hmm
NC_012721.1,810091,823397,13306,sigi_hmm
NC_012721.1,789738,800882,11144,sigi_hmm
NC_012721.1,727920,732760,4840,sigi_hmm
NC_012721.1,651176,656936,5760,sigi_hmm
NC_012721.1,719610,724229,4619,sigi_hmm
NC_012721.1,557811,569032,11221,sigi_hmm
NC_012721.1,141955,150952,8997,sigi_hmm
NC_012721.1,188400,193925,5525,sigi_hmm
NC_012721.1,249883,257173,7290,sigi_hmm
NC_012695.1,3585093,3591471,6378,sigi_hmm
NC_012721.1,115607,119821,4214,sigi_hmm
NC_012695.1,3296552,3321368,24816,sigi_hmm
NC_012695.1,3160195,3171694,11499,sigi_hmm
NC_012695.1,3118241,3125141,6900,sigi_hmm
NC_012695.1,2997008,3004414,7406,sigi_hmm
NC_012695.1,2448661,2459030,10369,sigi_hmm
NC_012695.1,2618641,2628595,9954,sigi_hmm
NC_012695.1,2095504,2103001,7497,sigi_hmm
NC_012695.1,1573195,1581549,8354,sigi_hmm
NC_012695.1,2024962,2031134,6172,sigi_hmm
NC_012695.1,2036594,2047405,10811,sigi_hmm
NC_012695.1,2066542,2074050,7508,sigi_hmm
NC_012695.1,1485323,1506333,21010,sigi_hmm
NC_012695.1,941181,953337,12156,sigi_hmm
NC_012695.1,953856,966384,12528,sigi_hmm
NC_012695.1,1091435,1102847,11412,sigi_hmm
NC_012695.1,920942,937898,16956,sigi_hmm
NC_012695.1,886001,913282,27281,sigi_hmm
NC_012695.1,685462,694393,8931,sigi_hmm
NC_012695.1,12620,21051,8431,sigi_hmm
NC_012658.1,3905722,3911933,6211,sigi_hmm
NC_012658.1,2481233,2487477,6244,sigi_hmm
NC_012658.1,3107061,3112879,5818,sigi_hmm
NC_012658.1,3669398,3676150,6752,sigi_hmm
NC_012658.1,3678600,3691250,12650,sigi_hmm
NC_012658.1,2286549,2295447,8898,sigi_hmm
NC_012658.1,2382040,2390404,8364,sigi_hmm
NC_012658.1,2249827,2265796,15969,sigi_hmm
NC_012658.1,358531,362811,4280,sigi_hmm
NC_012658.1,516919,524703,7784,sigi_hmm
NC_012658.1,912612,925321,12709,sigi_hmm
NC_012658.1,939196,943423,4227,sigi_hmm
NC_012658.1,958001,965272,7271,sigi_hmm
NC_012658.1,2132255,2138287,6032,sigi_hmm
NC_012658.1,2146922,2151012,4090,sigi_hmm
NC_012704.1,1896595,1901523,4928,sigi_hmm
NC_012704.1,1907089,1912341,5252,sigi_hmm
NC_012660.1,5830196,5835979,5783,sigi_hmm
NC_012488.1,1134100,1138542,4442,sigi_hmm
NC_012673.1,2541807,2548902,7095,sigi_hmm
NC_012673.1,2566208,2571994,5786,sigi_hmm
NC_012704.1,64296,68523,4227,sigi_hmm
NC_012660.1,5820384,5826134,5750,sigi_hmm
NC_012660.1,5798878,5816229,17351,sigi_hmm
NC_012660.1,5251814,5256599,4785,sigi_hmm
NC_012660.1,5577253,5590346,13093,sigi_hmm
NC_012660.1,4675228,4685929,10701,sigi_hmm
NC_012660.1,4565840,4583501,17661,sigi_hmm
NC_012660.1,4154902,4163321,8419,sigi_hmm
NC_012660.1,3220729,3225183,4454,sigi_hmm
NC_012660.1,3327250,3336165,8915,sigi_hmm
NC_012660.1,3603412,3607853,4441,sigi_hmm
NC_012660.1,3749297,3761625,12328,sigi_hmm
NC_012660.1,3150323,3155373,5050,sigi_hmm
NC_012660.1,3158999,3166371,7372,sigi_hmm
NC_012660.1,3186999,3193088,6089,sigi_hmm
NC_012660.1,3107848,3118869,11021,sigi_hmm
NC_012660.1,2726335,2733701,7366,sigi_hmm
NC_012660.1,2708410,2724219,15809,sigi_hmm
NC_012660.1,2692124,2696991,4867,sigi_hmm
NC_012660.1,2701912,2707048,5136,sigi_hmm
NC_012660.1,2443804,2450511,6707,sigi_hmm
NC_012660.1,2173735,2190353,16618,sigi_hmm
NC_012660.1,2155341,2165337,9996,sigi_hmm
NC_012660.1,2076811,2082808,5997,sigi_hmm
NC_012660.1,2084638,2091592,6954,sigi_hmm
NC_012660.1,2065341,2070162,4821,sigi_hmm
NC_012660.1,2050736,2064177,13441,sigi_hmm
NC_012660.1,1812811,1833747,20936,sigi_hmm
NC_012660.1,1604142,1609415,5273,sigi_hmm
NC_012660.1,1744680,1755048,10368,sigi_hmm
NC_012622.1,1201906,1207594,5688,sigi_hmm
NC_012623.1,1301125,1307532,6407,sigi_hmm
NC_012660.1,189178,196526,7348,sigi_hmm
NC_012660.1,825927,830358,4431,sigi_hmm
NC_011662.2,4437436,4446688,9252,sigi_hmm
NC_011662.2,4158393,4165899,7506,sigi_hmm
NC_011662.2,4430408,4435219,4811,sigi_hmm
NC_011662.2,3459913,3467168,7255,sigi_hmm
NC_011662.2,3941151,3945842,4691,sigi_hmm
NC_011662.2,3426348,3442841,16493,sigi_hmm
NC_011662.2,3024988,3032061,7073,sigi_hmm
NC_011662.2,3120924,3129484,8560,sigi_hmm
NC_011662.2,2509431,2522585,13154,sigi_hmm
NC_011662.2,2589708,2595293,5585,sigi_hmm
NC_011662.2,2354288,2362192,7904,sigi_hmm
NC_011662.2,2372497,2377486,4989,sigi_hmm
NC_011662.2,2389931,2396941,7010,sigi_hmm
NC_011662.2,2407196,2412293,5097,sigi_hmm
NC_011662.2,2424440,2428808,4368,sigi_hmm
NC_011662.2,2327561,2332801,5240,sigi_hmm
NC_011662.2,2339016,2345741,6725,sigi_hmm
NC_011662.2,1170390,1176056,5666,sigi_hmm
NC_011662.2,1106674,1112605,5931,sigi_hmm
NC_011662.2,423323,429099,5776,sigi_hmm
NC_011662.2,1017931,1022255,4324,sigi_hmm
NC_011662.2,1026165,1032114,5949,sigi_hmm
NC_011662.2,1063465,1072835,9370,sigi_hmm
NC_011662.2,368384,375112,6728,sigi_hmm
NC_011662.2,381488,386144,4656,sigi_hmm
NC_011662.2,395599,405120,9521,sigi_hmm
NC_011662.2,139992,144070,4078,sigi_hmm
NC_011662.2,335825,342701,6876,sigi_hmm
NC_011662.2,34785,45192,10407,sigi_hmm
NC_011662.2,27045,32649,5604,sigi_hmm
NC_012691.1,2745082,2750129,5047,sigi_hmm
NC_012691.1,3133526,3142214,8688,sigi_hmm
NC_012691.1,2152593,2161656,9063,sigi_hmm
NC_012691.1,2231893,2236282,4389,sigi_hmm
NC_012691.1,2497961,2502518,4557,sigi_hmm
NC_012691.1,2621845,2718645,96800,sigi_hmm
NC_012691.1,2066486,2074826,8340,sigi_hmm
NC_012691.1,2101371,2109757,8386,sigi_hmm
NC_012691.1,2112968,2118081,5113,sigi_hmm
NC_012691.1,2127064,2131453,4389,sigi_hmm
NC_012691.1,1776036,1782058,6022,sigi_hmm
NC_012691.1,2056118,2061464,5346,sigi_hmm
NC_012691.1,1431161,1435753,4592,sigi_hmm
NC_012691.1,1748417,1765551,17134,sigi_hmm
NC_012691.1,780646,792171,11525,sigi_hmm
NC_012691.1,1267887,1274715,6828,sigi_hmm
NC_012668.1,3041840,3054063,12223,sigi_hmm
NC_012691.1,342991,354156,11165,sigi_hmm
NC_012668.1,449606,463643,14037,sigi_hmm
NC_012668.1,1631323,1636965,5642,sigi_hmm
NC_012668.1,1720416,1724698,4282,sigi_hmm
NC_012668.1,1741763,1747320,5557,sigi_hmm
NC_012668.1,1750926,1756568,5642,sigi_hmm
NC_012668.1,1766984,1771141,4157,sigi_hmm
NC_012668.1,2125913,2130323,4410,sigi_hmm
NC_012668.1,2268094,2273736,5642,sigi_hmm
NC_012668.1,2751667,2772601,20934,sigi_hmm
NC_012668.1,2778141,2793991,15850,sigi_hmm
NC_012668.1,2970831,2976303,5472,sigi_hmm
NC_012668.1,2998888,3009256,10368,sigi_hmm
NC_012668.1,385274,391057,5783,sigi_hmm
NC_012668.1,175505,181148,5643,sigi_hmm
NC_012668.1,374754,384481,9727,sigi_hmm
NC_012668.1,86530,97183,10653,sigi_hmm
NC_012668.1,70319,79512,9193,sigi_hmm
NC_012667.1,1012125,1057450,45325,sigi_hmm
NC_012667.1,998735,1010209,11474,sigi_hmm
NC_012667.1,931390,996033,64643,sigi_hmm
NC_012667.1,507740,516365,8625,sigi_hmm
NC_012667.1,606368,611436,5068,sigi_hmm
NC_012667.1,668639,673258,4619,sigi_hmm
NC_012667.1,712388,725214,12826,sigi_hmm
NC_012667.1,53329,58837,5508,sigi_hmm
NC_012029.1,1063753,1068290,4537,sigi_hmm
NC_012029.1,913332,919551,6219,sigi_hmm
NC_009708.1,4167963,4173236,5273,sigi_hmm
NC_009708.1,4189742,4194616,4874,sigi_hmm
NC_009708.1,4220892,4225741,4849,sigi_hmm
NC_009708.1,4360378,4372454,12076,sigi_hmm
NC_009708.1,4549600,4554655,5055,sigi_hmm
NC_006155.1,180249,184826,4577,sigi_hmm
NC_006155.1,465764,469897,4133,sigi_hmm
NC_006155.1,658664,664904,6240,sigi_hmm
NC_006155.1,1203109,1218472,15363,sigi_hmm
NC_006155.1,2214972,2222688,7716,sigi_hmm
NC_006155.1,2223939,2231893,7954,sigi_hmm
NC_006155.1,2901687,2907220,5533,sigi_hmm
NC_006155.1,3604563,3620202,15639,sigi_hmm
NC_006155.1,3686327,3693713,7386,sigi_hmm
NC_006155.1,3783316,3792627,9311,sigi_hmm
NC_006155.1,3817986,3825717,7731,sigi_hmm
NC_006155.1,3834776,3841958,7182,sigi_hmm
NC_006155.1,3858717,3866743,8026,sigi_hmm
NC_006155.1,4009979,4015045,5066,sigi_hmm
NC_006155.1,4098135,4108776,10641,sigi_hmm
NC_010465.1,740167,745819,5652,sigi_hmm
NC_010465.1,897347,904517,7170,sigi_hmm
NC_010465.1,913543,918536,4993,sigi_hmm
NC_010465.1,941575,950907,9332,sigi_hmm
NC_010465.1,1129196,1142074,12878,sigi_hmm
NC_010465.1,2538403,2542782,4379,sigi_hmm
NC_010465.1,2826073,2831971,5898,sigi_hmm
NC_010465.1,3363577,3367814,4237,sigi_hmm
NC_010465.1,3439343,3443514,4171,sigi_hmm
NC_010465.1,3472743,3479098,6355,sigi_hmm
NC_010465.1,3481414,3487544,6130,sigi_hmm
NC_005810.1,242450,250932,8482,sigi_hmm
