waaQGP-rfaS-waaBIJY-rfaZ-waaK
NC_000913,Escherichia_coli_str._K-12_substr._MG1655,<waaK-rfaZ-waaYJIB-rfaS-waaPGQ>
NC_004741,Shigella_flexneri_2a_str._2457T,waaQGPIYJG
NC_003198,Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18,waaQGP waaBIJY-rfaZ
NC_003197,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,<rfaZ-waaYJIBPGQ>
NC_002663,Pasteurella_multocida_subsp._multocida_str._Pm70,waaBJ > waaK <waaI> <waaQ>
NC_004459,Vibrio_vulnificus_CMCP6,waaBG waaQ
NC_004603,Vibrio_parahaemolyticus_RIMD_2210633,<waaGB> <waaQ>
NC_004347,Shewanella_oneidensis_MR-1,waaQB <waaG>
NC_002516,Pseudomonas_aeruginosa_PAO1,<waaPGQ> <waaB>
NC_002947,Pseudomonas_putida_KT2440,waaQQGP rfaZ
NC_004578,Pseudomonas_syringae_pv._tomato_str._DC3000,<waaPGQ> <rfaZ>
NC_005085,Chromobacterium_violaceum_ATCC_12472,<waaBQ> <waaG>
NC_003047,Sinorhizobium_meliloti_1021,waaBG
NC_005090,Wolinella_succinogenes_DSM_1740,<waaQG> <waaB>
