hypABCDE-fhlA
NC_000913,Escherichia_coli_str._K-12_substr._MG1655,hypABCDE-fhlA
NC_004741,Shigella_flexneri_2a_str._2457T,hypABCDE-fhlA
NC_003198,Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18,hypABCDE-fhlA
NC_003197,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,hypABCDE-fhlA
NC_004347,Shewanella_oneidensis_MR-1,<hypAEDCB> <fhlA>
NC_004578,Pseudomonas_syringae_pv._tomato_str._DC3000,fhlAA <hypB>
NC_002927,Bordetella_bronchiseptica_RB50,<fhlAA>  <hypB>
NC_004463,Bradyrhizobium_japonicum_USDA_110,hypCDE <hypBA> fhlA
NC_005090,Wolinella_succinogenes_DSM_1740,hypBD hypE fhlA
NC_004917,Helicobacter_hepaticus_ATCC_51449,<hypCB> <hypE> <hypD> fhlA hypA
NC_002163,Campylobacter_jejuni_subsp._jejuni_NCTC_11168,hypBDEA <fhlA>
