Replicon Accession,Start,End,Size,GI Prediction Program
NC_010682.1,1766124,1782646,16522,islandpath_dimob
NC_010723.1,3208067,3216175,8108,islandpath_dimob
NC_010658.1,817660,849840,32180,islandpath_dimob
NC_010658.1,1140687,1148870,8183,islandpath_dimob
NC_010658.1,1454838,1459943,5105,islandpath_dimob
NC_010658.1,1535807,1545125,9318,islandpath_dimob
NC_010658.1,1567213,1572259,5046,islandpath_dimob
NC_010658.1,1942373,1961669,19296,islandpath_dimob
NC_010658.1,1914857,1924598,9741,islandpath_dimob
NC_010658.1,1780054,1791481,11427,islandpath_dimob
NC_010658.1,1155110,1171847,16737,islandpath_dimob
NC_010634.1,4562171,4583153,20982,islandpath_dimob
NC_010634.1,4470404,4488366,17962,islandpath_dimob
NC_010634.1,3746992,3751889,4897,islandpath_dimob
NC_010634.1,4313264,4338917,25653,islandpath_dimob
NC_010634.1,3590569,3603518,12949,islandpath_dimob
NC_010634.1,2126740,2139012,12272,islandpath_dimob
NC_010634.1,2141515,2153437,11922,islandpath_dimob
NC_010634.1,1446314,1449127,2813,islandpath_dimob
NC_010634.1,1912758,1948130,35372,islandpath_dimob
NC_010634.1,1337970,1358519,20549,islandpath_dimob
NC_010688.1,3256023,3262854,6831,islandpath_dimob
NC_010688.1,3530821,3567414,36593,islandpath_dimob
NC_010688.1,3232164,3253128,20964,islandpath_dimob
NC_010688.1,2822513,2835466,12953,islandpath_dimob
NC_010688.1,3035626,3054885,19259,islandpath_dimob
NC_010688.1,3056948,3073442,16494,islandpath_dimob
NC_010688.1,2786301,2800637,14336,islandpath_dimob
NC_010688.1,2181850,2186377,4527,islandpath_dimob
NC_010688.1,2405496,2411227,5731,islandpath_dimob
NC_010688.1,2532932,2542083,9151,islandpath_dimob
NC_010688.1,676297,687731,11434,islandpath_dimob
NC_010688.1,1194541,1234272,39731,islandpath_dimob
NC_010688.1,75567,81668,6101,islandpath_dimob
NC_010688.1,154122,166748,12626,islandpath_dimob
NC_010611.1,3148717,3155174,6457,islandpath_dimob
NC_010611.1,1455174,1462000,6826,islandpath_dimob
NC_010611.1,2353935,2360708,6773,islandpath_dimob
NC_010611.1,1308074,1318653,10579,islandpath_dimob
NC_010611.1,249117,260216,11099,islandpath_dimob
NC_010611.1,758343,794472,36129,islandpath_dimob
NC_010981.1,1366044,1377126,11082,islandpath_dimob
NC_010981.1,1037700,1050336,12636,islandpath_dimob
NC_010981.1,1190224,1201063,10839,islandpath_dimob
NC_010981.1,428609,451951,23342,islandpath_dimob
NC_010981.1,387507,404009,16502,islandpath_dimob
NC_010981.1,353077,368905,15828,islandpath_dimob
NC_010981.1,294562,327551,32989,islandpath_dimob
NC_010981.1,244193,251610,7417,islandpath_dimob
NC_010981.1,277059,292824,15765,islandpath_dimob
NC_012659.1,3767449,3781512,14063,islandpath_dimob
NC_012659.1,2052845,2060759,7914,islandpath_dimob
NC_012659.1,3456946,3505709,48763,islandpath_dimob
NC_010939.1,2000747,2040105,39358,islandpath_dimob
NC_010939.1,1716134,1723719,7585,islandpath_dimob
NC_010939.1,1814124,1837201,23077,islandpath_dimob
NC_010939.1,1698379,1710139,11760,islandpath_dimob
NC_010939.1,1119498,1131758,12260,islandpath_dimob
NC_010939.1,898745,908087,9342,islandpath_dimob
NC_010939.1,570917,586535,15618,islandpath_dimob
NC_010939.1,518475,561105,42630,islandpath_dimob
NC_010655.1,2026508,2038697,12189,islandpath_dimob
NC_010655.1,2310079,2319096,9017,islandpath_dimob
NC_010939.1,406801,426125,19324,islandpath_dimob
NC_010655.1,155651,163318,7667,islandpath_dimob
NC_010645.1,1880271,1884298,4027,islandpath_dimob
NC_010645.1,1369276,1388733,19457,islandpath_dimob
NC_010645.1,368759,403870,35111,islandpath_dimob
NC_012659.1,996796,1005351,8555,islandpath_dimob
NC_012669.1,2808011,2821256,13245,islandpath_dimob
NC_012695.1,2991049,3006765,15716,islandpath_dimob
NC_012695.1,2111640,2117467,5827,islandpath_dimob
NC_010816.1,2160234,2183197,22963,islandpath_dimob
NC_010816.1,1981217,1992752,11535,islandpath_dimob
NC_010816.1,352426,360186,7760,islandpath_dimob
NC_010816.1,429498,442187,12689,islandpath_dimob
NC_010816.1,812103,819032,6929,islandpath_dimob
NC_010816.1,1322216,1329051,6835,islandpath_dimob
NC_010816.1,1541573,1549959,8386,islandpath_dimob
NC_012695.1,2064614,2101944,37330,islandpath_dimob
NC_012695.1,2024965,2049226,24261,islandpath_dimob
NC_012695.1,1569758,1584693,14935,islandpath_dimob
NC_012695.1,1683639,1692310,8671,islandpath_dimob
NC_012695.1,1481084,1502930,21846,islandpath_dimob
NC_012695.1,1076918,1101655,24737,islandpath_dimob
NC_012695.1,885339,967484,82145,islandpath_dimob
NC_010742.1,1061798,1074239,12441,islandpath_dimob
NC_010742.1,949618,958500,8882,islandpath_dimob
NC_010742.1,960741,970657,9916,islandpath_dimob
NC_010742.1,720924,743606,22682,islandpath_dimob
NC_010742.1,284049,299675,15626,islandpath_dimob
NC_010742.1,534144,549401,15257,islandpath_dimob
NC_010740.1,383075,397612,14537,islandpath_dimob
NC_012695.1,682125,694393,12268,islandpath_dimob
NC_012724.1,3114406,3121307,6901,islandpath_dimob
NC_012724.1,3228166,3238206,10040,islandpath_dimob
NC_012695.1,12230,22771,10541,islandpath_dimob
NC_010512.1,955678,966845,11167,islandpath_dimob
NC_010512.1,1020760,1051197,30437,islandpath_dimob
NC_010512.1,872992,895357,22365,islandpath_dimob
NC_010804.1,2965760,2982895,17135,islandpath_dimob
NC_010804.1,1600419,1609734,9315,islandpath_dimob
NC_010804.1,2810795,2823099,12304,islandpath_dimob
NC_010804.1,1524033,1540584,16551,islandpath_dimob
NC_010804.1,833473,846956,13483,islandpath_dimob
NC_010804.1,953831,1042020,88189,islandpath_dimob
NC_010804.1,786111,802221,16110,islandpath_dimob
NC_010804.1,669985,704579,34594,islandpath_dimob
NC_010804.1,456037,467343,11306,islandpath_dimob
NC_010804.1,56850,67064,10214,islandpath_dimob
NC_010801.1,639821,652771,12950,islandpath_dimob
NC_010801.1,552436,598925,46489,islandpath_dimob
NC_010801.1,533290,544425,11135,islandpath_dimob
NC_010801.1,484618,505543,20925,islandpath_dimob
